b_no	r_no	agegroup	name	birth	seat
33687	13576	1	Kang GyeonSon	1973-07-01	C06
33688	35092	1	Chong PyeongSin	1952-10-07	A09
33689	2916	1	Cha ManAn	1980-06-06	D03
33690	16246	1	Geun YunPaeng	1969-04-14	B02
33691	9622	2	Su KukKun	2020-09-10	C08
33692	117	1	Jeong NoSang	1998-03-04	A01
33693	13642	1	Nu SeolKil	1988-08-10	D01
33694	19400	1	Nam YeJun	2004-02-29	D02
33695	5895	1	Kam BuJeo	2001-06-07	A02
33696	4195	1	Ja ChoSeop	1978-01-24	E01
33697	19523	1	Ku WiKyo	2010-07-28	A01
33698	26370	1	Bo KimBong	2003-11-09	E04
33699	2253	1	An RangGyeong	1965-03-16	A07
33700	11884	1	Jun HongJu	1986-05-31	D05
33701	42809	1	Man TuKam	1992-11-07	D09
33702	47962	3	Yang KamBak	2022-02-20	B05
33703	17716	1	Tang MaeOk	1985-12-16	E08
33704	8339	3	Gyeon SeungTa	2022-05-20	C04
33705	24422	1	Sa WangSa	1983-04-10	C10
33706	44621	1	San SeomunSan	1998-11-04	D10
33707	9923	1	Jeong TanRyeom	2009-05-29	D05
33708	31034	1	Hu KungSo	2012-11-01	E01
33709	36701	2	Seung BeonKung	2018-05-01	D10
33710	626	1	Pyeong KangjŏnNae	1978-09-09	E01
33711	26691	1	Cheon ImTang	1995-01-06	E01
33712	22139	1	Mae PoJeup	1992-03-13	B09
33713	38012	1	I ChoWi	1978-04-06	E05
33714	17393	1	Kwae YunTokko	2005-03-28	E03
33715	24929	1	Eogeum OngSip	1983-04-10	E02
33716	25834	1	Kan PilYo	1962-10-07	D08
33717	27193	1	An JegalYeong	2014-12-07	A09
33718	36906	3	Chun BoJang	2021-08-12	D04
33719	4177	1	Yo BaekMaeng	2009-05-28	D03
33720	35812	1	Yeom TanBok	1982-05-07	D09
33721	12958	1	Geun KukJang	2011-02-06	A03
33722	44445	1	Seomun OngPyeong	2013-07-03	C08
33723	13682	1	Jin HeoJa	1957-09-22	A02
33724	9771	1	Tok KyeEogeum	1952-04-14	D07
33725	43705	1	Tae YoByeon	1952-06-07	E08
33726	10933	3	Ju NoeKwan	2021-08-06	E01
33727	32022	1	Si ByeonGyeon	1961-06-06	E10
33728	41623	1	Ta YeopNan	1992-11-23	B01
33729	2226	1	Yu PyeonKa	1958-05-01	B08
33730	33101	1	Hu YeongRyeo	2015-08-24	C05
33731	13612	1	Tam BingWang	1956-05-07	E10
33732	23066	1	Kal YoNamgung	1951-08-04	C05
33733	42164	1	Mo RoBeom	1971-06-26	E03
33734	2346	1	Myeong JeongTa	1963-12-13	E07
33735	33375	1	Han YeonWon	1968-10-11	C07
33736	17240	1	Kil MinIm	2014-06-29	E10
33737	9064	1	Hwa BoPyeon	2015-07-04	E06
33738	42148	1	Pung ByeonMa	1965-03-19	E07
33739	5845	1	Hak SimEogeum	1953-05-01	D06
33740	7429	1	Ryu KukYong	2001-09-30	B08
33741	13298	1	Muk KanJi	1981-12-13	E02
33742	8394	1	Pi NaeKae	1955-01-26	A07
33743	48043	3	Kangjŏn ChunBae	2021-06-05	B04
33744	796	1	Tak JeupTo	1978-11-21	E06
33745	16092	1	Paeng YangNang	1982-01-15	D03
33746	8895	1	Yun MuYuk	2000-02-04	B05
33747	40642	1	Bae GeunRyeom	1997-06-09	B03
33748	26498	3	Bo RangJeung	2022-11-14	D08
33749	46534	1	Paeng KunKal	1979-10-04	C09
33750	10617	1	Kun GwokKal	1985-07-09	E08
33751	44045	1	Wan HwangHo	2004-06-03	B06
33752	17222	1	Namgung SeonWon	1968-10-28	A01
33753	30371	1	Yeop WanSa	1975-04-23	D02
33754	5596	1	Kok JeomOk	1970-05-30	E09
33755	9421	1	Geum MukJwa	1976-12-10	A04
33756	37688	1	Ryuk KwakMok	1990-11-23	A10
33757	7682	1	Nae TonDeung	1986-11-13	E05
33758	5566	1	Hong YeomNan	1955-06-16	B04
33759	2086	1	Ye JeongKang	1977-01-21	E08
33760	786	1	Bu BangCha	2004-12-15	D10
33761	40315	1	Seon TokkoMaeng	2007-01-31	A08
33762	19391	1	Bang HanBeom	1974-06-01	D01
33763	47322	2	Noe KyeJanggok	2021-01-14	E08
33764	29011	1	Seok SeonChae	1993-03-08	A10
33765	6211	3	I NanSeung	2021-10-26	C02
33766	12232	1	Jeom GeumNoe	1971-01-16	B07
33767	6994	1	Hwangbo BakSa	1958-01-11	D02
33768	26527	1	Ra ChoGyeong	1978-04-13	C02
33769	36422	1	Roe YaJe	2009-10-04	A07
33770	10953	1	Mun SinBaek	2014-11-11	E08
33771	23288	1	Ham PilRo	1990-05-21	D06
33772	32033	1	Bi ChuU	1987-09-05	B10
33773	18809	1	Pi HyeongJun	2016-05-18	E06
33774	27442	1	Kun MaBak	1961-08-18	E02
33775	18162	1	Pyeon BaekMin	1987-05-01	A02
33776	6451	1	Nam AnKam	1994-11-19	A07
33777	23466	1	Geun KaeSa	1974-12-18	E05
33778	26264	1	Nu YeomHwangmok	1997-08-28	C09
33779	6878	1	Seomun SeonTae	2009-04-16	E08
33780	25152	1	Eogeum NaMu	1994-04-30	E01
33781	69	1	Hwang KaeNa	1978-02-05	E06
33782	12409	1	Chu TongbangBang	2013-01-07	E10
33783	25507	1	Seo SamJanggok	1957-01-03	E04
33784	18740	2	Tok MaengTan	2017-06-25	A05
33785	491	1	Yong WanHo	1950-08-25	A04
33786	13743	1	Tan MangjeolPi	1959-04-29	A06
33787	42533	3	Sagong YangSo	2022-09-16	D09
33788	12441	1	Jeon SeoHeung	1959-01-08	E07
33789	47209	1	Ku MunGyeon	1997-10-05	D02
33790	20640	1	Kam KoTokko	1970-03-19	C09
33791	23700	1	Rim SeongRi	2004-08-07	C01
33792	20340	1	Bu KwaeTak	1952-02-25	B07
33793	34227	1	Gyeon HanTong	1996-08-01	D03
33794	34674	1	Namgung TokkoJegal	1999-12-20	A08
33795	23161	1	Min SeungKuk	2008-11-14	C05
33796	46887	1	Yun MaRang	1967-07-17	A01
33797	38396	3	Cheon JeYo	2022-09-04	B10
33798	4437	1	Jun SaSeonu	1993-03-31	B08
33799	42160	1	Sobong YongKu	1969-04-06	C09
33800	31350	1	Ryu JinTongbang	1990-10-14	C08
33801	22735	1	Muk MinAe	2012-09-25	E02
33802	46553	1	Gwon SeungJo	1966-06-27	D01
33803	26178	1	Paeng TuSeok	1984-05-17	D03
33804	20484	1	Seomun SongBae	1965-07-14	D04
33805	49957	1	Ryuk UJi	1972-10-14	B10
33806	37053	1	Su SanJa	1997-06-17	B10
33807	45477	1	Ro HamA	1999-03-26	B07
33808	9218	1	Myo PoSeol	1984-01-07	C08
33809	48845	1	Jeung BuSeon	2009-02-26	A04
33810	16441	1	Heung YeonJeup	1984-05-11	C04
33811	34320	1	Un NamHyeong	1955-02-22	E08
33812	25734	1	Eom CheonTan	2011-03-18	B02
33813	16251	1	Hyeon RuKu	1993-12-21	A05
33814	29810	1	Tan HwaMan	1996-01-02	B09
33815	35686	1	Ho JegalTan	2004-08-10	E10
33816	48352	1	Ka YeongMuk	1981-06-09	D07
33817	29868	1	Tam GeumGyeong	1960-03-24	C02
33818	2710	1	Ham RaIm	1996-03-26	E07
33819	27643	1	Gyeon HyeongYeop	2002-11-23	E01
33820	37354	1	Eom InYeop	2003-06-03	A09
33821	49375	1	Eom MaeTok	1993-01-30	C09
33822	16607	1	Yo JanggokHwan	1992-03-14	D09
33823	32039	1	Gyeon JeoChun	1969-04-18	B03
33824	3278	1	A PanA	1982-12-11	E10
33825	12023	1	Seonu SeokSip	2013-10-25	E03
33826	40911	1	Ae ToBing	1966-03-30	B01
33827	12835	1	Nan ByeonKyo	1957-02-01	E05
33828	25337	1	Yo YuByeon	1985-07-21	C08
33829	16520	1	Kwan PanBi	1957-08-15	B08
33830	32400	1	Deungjeong JeungMi	1995-02-04	B04
33831	47685	1	Ja JangPil	2013-08-08	A03
33832	14628	1	Eum YoTu	1974-02-26	A07
33833	36586	1	Hwangbo PyeongKim	2011-05-14	C04
33834	13732	1	I ChuRyang	1962-11-17	C06
33835	35738	1	Yuk KaeMo	1966-08-13	D07
33836	16394	3	Eogeum RimByeon	2022-03-20	C02
33837	14487	1	Kwak BongRyeom	2006-12-20	B08
33838	20009	1	Mun YongTan	1987-03-21	C06
33839	28329	1	Hwa SiAe	1952-11-19	C07
33840	34270	1	Ko HoO	1959-03-14	D07
33841	21283	1	Tok TuWi	1970-04-26	A02
33842	7253	1	Tam HuRo	1968-01-29	B01
33843	4519	1	Kan SunMaeng	1952-08-24	A04
33844	27396	1	Beom BangWi	1993-06-19	A09
33845	49066	1	Kwae BuWi	2003-08-28	E01
33846	6656	1	Kok KamSa	2013-01-29	B10
33847	32779	1	Po BingU	1959-07-25	D09
33848	45662	1	Cha PaengJo	1991-11-04	B09
33849	2144	1	Yeong HeoHeo	1967-12-21	A08
33850	1182	1	Wang JeoAn	2011-07-29	D05
33851	20698	1	Jin GeumHong	1952-02-04	C01
33852	28821	1	Mun BoChoe	1958-07-24	B01
33853	13102	1	Hwangmok SuBi	2002-11-07	D04
33854	17337	1	Pung AeTang	2006-10-26	A02
33855	25723	2	Tang KoTan	2018-11-13	B05
33856	36680	1	Kun BakJu	2002-05-05	A01
33857	16278	1	Jeung RaPaeng	1987-12-06	C03
33858	29076	1	Tang KiTon	2013-11-20	A01
33859	34831	1	Na HeungBong	1965-04-23	D07
33860	37498	1	Jeung YongRi	1996-06-23	B07
33861	26412	1	Ji YaBan	1992-06-11	D06
33862	39060	1	Noe MinMun	1951-02-27	E02
33863	36112	1	Seop OkMok	2006-01-10	A04
33864	6083	1	Kangjŏn JeupSang	2013-07-15	C04
33865	103	1	Chun MiRa	1964-07-14	C10
33866	17699	2	Gwok JaHae	2018-01-29	D03
33867	22732	1	Ok MyoKangjŏn	1957-04-23	E03
33868	5576	1	Bing SangHae	1952-01-08	C06
33869	20433	1	Son BangKim	1981-09-21	B05
33870	40741	1	Yun BongMangjeol	1992-10-07	B04
33871	17424	1	Seomun KaeRa	2009-07-09	A05
33872	3606	1	Ma NamJong	1960-02-13	D08
33873	18103	1	Chae TongPi	1957-06-10	A04
33874	5294	1	Bo YeoKam	1980-05-03	E02
33875	12339	1	Sobong RangYun	1978-10-28	A05
33876	14810	1	Eum OnJong	2008-09-27	E08
33877	20832	1	Yeo JeupNa	1978-05-12	E06
33878	36471	1	Gwon RyeomYeong	1984-02-27	D03
33879	24949	1	Ki JanggokIm	1960-01-23	E01
33880	31629	1	Jin RaBi	2017-02-25	C07
33881	34973	1	Kan BeomMok	2016-05-19	C10
33882	44246	1	Cha TanPil	1990-06-19	B03
33883	20989	1	Paeng KwanMuk	2003-04-05	D04
33884	35835	1	So HaMu	2009-08-18	D07
33885	22352	1	Bin BaekRyu	2012-02-06	B03
33886	25062	1	Pyeong YunChae	1992-09-03	E05
33887	1412	1	Yeong KalMan	1951-02-12	A04
33888	12613	1	Ho SeonSi	2008-03-23	A10
33889	12194	1	Nu NuSin	1996-09-04	A01
33890	40208	1	Sim PyeongJegal	1994-06-12	A06
33891	17648	1	Myo TongSo	1968-03-03	A09
33892	17579	1	Baek UJu	1968-03-26	B08
33893	12634	1	Nang BinIm	1976-03-01	E03
33894	31266	1	Baek KongSi	1958-10-06	D09
33895	5509	1	Ta GyeongYang	2007-08-20	D02
33896	8514	2	Yu UnGyeong	2017-07-19	B05
33897	14918	1	Ok KunHeo	1955-06-29	A06
33898	34800	1	Chun BoJang	1968-05-06	D05
33899	43079	1	Chang RanMyeong	1996-01-27	E02
33900	5875	1	Seop BongKuk	2012-08-15	C04
33901	5332	1	Rang HeungHong	1977-12-24	E07
33902	18038	1	Hak KimTon	1981-12-05	E09
33903	37319	1	Po YangHwangbo	1998-05-23	D05
33904	10045	1	Ki PiPi	1975-09-21	A05
33905	19974	1	Kwan ChoeNae	1956-03-04	A04
33906	34347	1	Nam ChunGwok	2010-11-04	D03
33907	6738	1	Hu TanJu	1989-11-24	E02
33908	47881	2	Mi PyeongJeong	2019-11-28	D07
33909	21995	1	Eo HeoHeo	2012-05-03	B03
33910	41301	1	Heung BeonMyeong	1952-11-24	E10
33911	6063	1	Muk JeomSeo	1989-07-18	A01
33912	9068	1	Seomun MyeongMa	1985-05-25	C10
33913	12265	1	Namgung UHwang	1992-02-13	B04
33914	25281	2	Ja ChunWon	2018-03-29	B09
33915	12058	1	Pyo UJo	1996-01-28	D06
33916	31638	1	Hwan RyukWon	1995-10-10	A07
33917	42082	1	Seol KanYong	1983-10-15	D01
33918	17588	1	Ryeom JwaKam	1997-11-01	D06
33919	30013	1	Sam UGwok	1958-01-10	C03
33920	24503	1	Deungjeong RoePyeong	1975-09-29	B07
33921	26935	1	O SamKok	1981-07-07	B05
33922	26864	1	Ong RyeomMo	1962-10-01	B07
33923	26852	1	Bi YeomKwae	1980-05-12	A03
33924	25624	1	Baek OnPi	2002-03-15	E06
33925	25931	1	Seol HuJun	1995-05-24	C07
33926	17003	1	Min YeomJong	1975-01-07	A03
33927	36332	2	Im MaeGyeon	2017-06-08	A06
33928	30702	1	Yong YunMin	1973-01-21	A05
33929	20756	1	Deungjeong MuSeon	1961-01-19	D04
33930	34273	1	Rim SoMae	1998-10-30	E08
33931	44461	1	Jeup JegalPo	1983-08-08	A08
33932	42436	1	Yu SangBang	2016-03-26	C04
33933	33929	1	Ru BongHo	2002-03-04	D02
33934	4196	1	Jeong BuHae	2011-08-26	C05
33935	16771	1	Ryeo TaeHak	1973-02-19	B03
33936	18674	1	Ho JegalMa	1958-11-04	C03
33937	27663	1	Kong AMa	1998-08-13	D05
33938	37546	1	Pi EunGeun	2004-04-21	A04
33939	45754	1	Ja KaCho	1970-02-02	B02
33940	16957	1	Jeup SeonuKuk	1956-06-23	C01
33941	34498	1	Mok SonMok	1958-09-23	B06
33942	8028	1	Geun ImHeung	1965-08-19	B05
33943	14849	1	Son SeungHeo	1969-10-24	B10
33944	25050	1	Bing PyeonSeong	1969-05-05	B09
33945	43438	1	I JeoJeong	1984-05-09	E07
33946	38006	1	Bong BeonJeo	1993-07-18	B06
33947	968	1	Hu EomTo	1969-08-28	E07
33948	19185	1	Rang EumYeo	2003-08-20	D06
33949	30324	1	Ok GeunKuk	1984-11-27	E08
33950	13342	1	Je RyeoYeo	1963-08-22	E09
33951	32688	1	Tan PyeonNu	1995-06-29	D02
33952	44005	1	Yun BeonKang	1968-06-26	A08
33953	40404	1	Chang EogeumJwa	1987-12-05	B02
33954	43912	1	Hong BiTan	1993-10-30	A01
33955	4135	1	Yun RuJegal	1982-06-03	C04
33956	33566	1	Yeon KilKyo	1962-05-13	B10
33957	44596	1	Tang HwanChoe	1979-05-01	B07
33958	861	1	Hwangmok RiJi	1952-05-22	D03
33959	44544	1	Hwan SeomunBan	2002-03-30	C01
33960	18196	1	Mubon NangBong	1961-10-12	B10
33961	42372	1	Kang HoJe	1977-05-13	B03
33962	2910	1	Hu RyukSun	1978-12-02	B08
33963	39014	1	Mangjeol NaeCha	1965-09-15	A09
33964	28762	1	Sim MokJanggok	1976-02-02	E10
33965	47392	1	Je SongSu	2009-08-18	D06
33966	30959	1	Chun EumGwok	1986-03-17	D10
33967	19314	1	To NoNoe	1975-12-29	C05
33968	39840	1	Mun EunKi	1970-10-23	C01
33969	3388	1	Kwak TaeJe	1980-08-28	B01
33970	35005	1	Nu UnTu	1984-04-11	C10
33971	16628	1	Jeom ChangMangjeol	1975-03-09	E09
33972	5850	1	Choe PyeonMyeong	1983-11-30	D02
33973	42511	1	Han BingBae	1998-01-25	C09
33974	2442	1	Heo KungJo	2016-08-03	B03
33975	22643	1	Tong TongbangMae	1952-06-21	E03
33976	26624	2	Tak SeolSa	2020-12-08	C03
33977	17283	1	Yeo RyuKi	1971-11-07	C04
33978	14624	1	Cho RyeomChu	1952-11-25	A03
33979	46924	1	Si SeomunIm	1955-06-23	E08
33980	10430	1	Seonu BangJeong	1991-12-31	B04
33981	45319	1	Son NamgungWang	1973-04-25	D10
33982	10478	1	Jo YeNam	2001-12-03	E04
33983	38401	1	Ye HoHwangbo	1955-04-16	E06
33984	12734	1	Kwae BongRan	2014-06-28	C06
33985	2639	1	Pil HongMae	1964-11-16	E04
33986	33951	1	Yeo TaeSa	1996-05-29	D10
33987	13268	1	No ChuHae	1979-11-06	D07
33988	27277	1	Maeng DeungjeongWang	1969-10-29	D01
33989	27276	1	Chong KilRa	1975-10-22	C02
33990	14091	1	Ru HeoKu	1987-04-02	A10
33991	17631	1	Pil TaYo	1996-07-19	E09
33992	22508	1	Yeong JanggokMin	1950-11-25	E08
33993	39747	1	Kye ChangNo	1956-12-22	B09
33994	29670	3	Sobong NaeSang	2022-11-09	A09
33995	19690	1	Bo KyeHeung	1966-12-09	D10
33996	30527	1	Seok RyeoIm	1965-07-31	A01
33997	27627	1	Pil PyoSa	2000-08-28	A01
33998	44213	1	Bin ImPyo	2017-03-24	C07
33999	39330	1	Bong SimRu	1991-07-03	A10
34000	46265	1	Ka WanDeungjeong	1961-04-08	B07
34001	5146	1	Seol RiYeop	1966-05-05	D03
34002	24848	1	Wan NamHu	1995-11-10	A01
34003	33286	1	Tam OkYeong	1986-12-21	C03
34004	37162	1	Bak YeonYun	1957-03-18	E08
34005	23910	1	Hwa SanAn	1996-04-04	A10
34006	7831	1	Kyo JaMubon	1954-02-18	C08
34007	2498	1	Ki NanGwon	1953-10-01	A09
34008	11749	1	Gwok PaengJu	1965-08-18	D08
34009	13116	1	Pi SangWon	1960-10-08	A02
34010	46903	1	Kye KwakSo	1979-12-14	D09
34011	390	1	Man MyeongHan	1984-01-11	E03
34012	48421	1	Kwak BokMa	1991-12-17	B07
34013	7775	1	Ta KyoKal	1974-08-26	E01
34014	16628	1	Cheon SeongSo	1988-07-28	A07
34015	17341	1	Gyeon ToCho	2015-10-18	C01
34016	8375	1	Seok BaePan	1983-08-08	D07
34017	12651	1	Tan MoRyeom	1994-10-22	C09
34018	40124	1	Bak GyeonKangjŏn	1975-07-14	C04
34019	19959	1	Nan YeopJu	1976-03-06	E05
34020	2770	1	Geun PiMan	2001-09-21	A05
34021	19049	1	Yeon SeonEom	2014-02-24	B04
34022	9998	1	Bae RoChun	2010-03-05	A05
34023	32452	1	Ra KangJwa	1965-12-09	A04
34024	31374	1	Mun OnKung	1980-02-18	B02
34025	43258	1	Hwan JangSam	1991-06-26	D10
34026	48778	1	Ryu MyeongTang	1961-11-04	D04
34027	35207	1	Kung TanTan	1985-08-18	A09
34028	11718	1	Kye JunPi	2013-07-24	B10
34029	8064	1	Ho OnSip	1971-11-25	D06
34030	22900	1	Cha TaeKun	1979-12-23	A08
34031	44012	1	Jin WangMo	2006-07-25	C09
34032	4368	1	Mae InSim	1977-12-16	B08
34033	25519	1	Cheon ToO	1989-12-14	C08
34034	17658	1	Sin KyoRyeom	1997-09-23	E10
34035	37397	1	Ka HwaTok	1977-02-23	D08
34036	40741	1	Sun KaGwok	2008-10-30	D06
34037	15264	1	Mae RoBan	2012-05-15	A10
34038	49910	1	Deungjeong TangHam	1980-09-04	D10
34039	20415	1	Janggok AKim	1972-02-04	A02
34040	455	1	Eom PoJa	1985-11-15	B09
34041	20278	1	Ae ChoI	1973-05-18	B02
34042	45904	1	Jeon JaBang	1978-02-01	D06
34043	31515	1	I BuKwae	1996-01-19	B10
34044	205	1	Kwae RuBae	1987-08-28	C06
34045	21581	1	Mu GyeonSip	1998-01-21	B08
34046	15709	1	Chae NoJeung	1967-01-24	E09
34047	19968	1	Jeup EomBae	1950-10-18	A06
34048	17111	3	Sam PiJeo	2021-11-29	A08
34049	44860	2	Tokko JeongMaeng	2020-09-08	A03
34050	15676	1	Bu MoYu	1981-07-17	D07
34051	30324	1	Tokko PyoKa	1965-06-04	D10
34052	14666	2	Kil WiIn	2019-01-26	D07
34053	44341	3	Jin MaengHyeong	2022-02-25	B03
34054	33290	1	In SaNam	1955-03-06	D05
34055	36016	1	Eogeum KaeSeong	2009-10-08	C02
34056	34065	1	Hyeon KilRa	2007-03-26	D10
34057	39288	1	In SeonuSo	1989-03-01	C05
34058	5244	1	Eun SipKwae	1952-09-11	A01
34059	41715	1	Cho WanChong	2009-12-27	C10
34060	37241	1	Bin SuMi	2015-01-30	A03
34061	30671	1	Rim HyeongHyeong	1965-10-05	D07
34062	1305	1	Je KwaeSeon	1959-12-04	A09
34063	16756	1	Seung KuJang	1953-02-23	E04
34064	32177	1	Yeop ChaHam	1995-10-12	D07
34065	33682	1	Nang TanSan	2012-07-21	E02
34066	36068	1	Ae PaengPil	2004-11-19	C10
34067	22724	1	Tu KangjŏnByeon	1953-08-10	C07
34068	13239	3	Heung SiJeon	2021-11-16	B06
34069	44577	1	Mangjeol MokByeon	1963-06-22	E08
34070	2031	1	Mo BuJin	1955-09-05	A04
34071	28335	1	Jin HamGyeon	1969-12-16	A09
34072	29867	1	Min SonYeom	1998-03-14	A01
34073	16995	1	Kangjŏn HwaCho	1993-10-24	A08
34074	27019	1	Ru SimRyuk	2014-01-14	C07
34075	14537	1	Mubon PanYeop	2011-07-16	E02
34076	954	1	Yeong SeonSim	1952-11-24	A07
34077	8290	1	O JeRim	2005-01-27	C10
34078	9880	1	Sun SanYun	1972-10-12	A08
34079	17877	1	Seo RoJeo	2003-06-17	E09
34080	42030	1	Ha KwaeTang	1978-03-01	E05
34081	4267	3	Wang YeSang	2022-09-19	A01
34082	20728	1	Hak JoSeonu	2013-04-29	E09
34083	35042	1	Kun YangSeo	1980-07-23	E09
34084	24790	1	Hwang SeolRan	1961-01-07	B02
34085	40290	1	Cho SongSeok	1985-04-18	B08
34086	28994	1	Wang KunBi	2010-04-04	C01
34087	29648	1	Ki AeJeung	1954-04-12	C03
34088	15924	1	Sip BoChae	1977-09-03	A02
34089	46571	1	Chong TongEum	2009-09-25	D04
34090	10954	1	Gwok DeungKi	1985-10-30	B08
34091	46247	1	Beon ChaeMae	1956-10-23	D04
34092	25024	1	A KyoKuk	2002-08-17	A04
34093	13974	1	Ha GwokBong	1981-02-11	B06
34094	14194	1	Kangjŏn MangjeolHo	1987-03-15	C09
34095	2306	1	Ki KimBin	1967-11-30	E01
34096	46627	1	Kung GwokJegal	1955-07-19	B10
34097	49395	1	Tu GyeonYu	2014-12-06	A09
34098	3317	1	Hu TanKa	1989-10-07	C02
34099	7823	1	On ManHyeong	1979-11-12	A01
34100	4479	1	Mo EoYe	2012-12-13	C01
34101	24676	1	Ton HwaPo	1952-11-03	D01
34102	1981	1	Deung YeoSin	1974-01-17	E05
34103	43532	1	Tokko HongDeungjeong	1978-10-23	C05
34104	30456	1	Jeon KyoKam	1952-04-14	B07
34105	13346	1	Kal DeungjeongSip	1983-11-19	B06
34106	3370	1	So UnSeonu	1969-05-17	B01
34107	45247	1	Seong CheonHyeon	1988-04-12	A05
34108	41402	1	Bae TuCha	1960-12-16	B09
34109	16184	1	Jegal RyeomRyang	2015-01-11	E06
34110	30077	1	Man SeopMuk	1967-09-25	D07
34111	39424	1	Gyeon SiHu	1970-03-28	D05
34112	15684	1	Gwon BanGyeon	1982-03-19	B07
34113	3017	1	Maeng JeupWang	1993-12-03	B08
34114	1321	1	Jin TaHwan	1955-09-14	A05
34115	5233	1	Kim TanJa	1984-04-12	C03
34116	16047	1	Jeo KangjŏnSi	1998-04-29	E05
34117	6884	1	Beom JeungRo	2001-04-22	A02
34118	2706	1	Pyo JeongMa	2001-07-08	D02
34119	13268	1	Hu KimSagong	2009-03-08	B08
34120	8931	1	Myeong BuHan	1974-05-03	C03
34121	19903	1	Hae HwangMi	2002-03-24	B01
34122	26438	3	Jun ChoeHwa	2022-05-07	E01
34123	16315	1	Pung HaJeom	1961-10-22	E03
34124	39683	1	Pil YongSeonu	1986-03-07	A06
34125	919	3	Seol JwaYang	2022-12-14	D03
34126	39655	1	U RiKun	1987-12-12	B06
34127	38188	2	Cha KyoYeong	2020-11-03	B04
34128	30599	1	Hwang JuJeom	1978-08-28	B01
34129	49301	2	Pil BinChae	2018-12-05	A06
34130	25675	1	Seok NamgungUn	1969-08-12	B01
34131	15054	2	Mangjeol RangMa	2020-06-13	E01
34132	27137	1	Heo YeongYu	2000-09-29	A07
34133	14836	1	Tae SamCheon	1992-08-22	A05
34134	11165	1	Hwangbo JiTon	2016-10-24	B07
34135	2801	1	Ham SagongRyang	1996-08-05	B10
34136	5970	1	Pil TuChun	2006-08-03	D08
34137	6193	1	Kangjŏn SeonKan	1965-03-11	B01
34138	26253	1	Bae KukPung	1989-08-15	D03
34139	45147	1	Ro KanPil	1992-01-20	C04
34140	29190	1	Yeo SuAe	1996-10-02	E05
34141	7485	1	Jang NaeJeong	2003-04-23	C07
34142	48792	1	Ka RyeoGyeong	2009-02-09	A06
34143	11711	1	Baek JunJanggok	1988-05-24	B09
34144	6631	1	Deungjeong GwokMun	1971-07-14	A04
34145	40256	1	Kae YongJeon	1983-06-28	C07
34146	26876	1	Hyeong AePan	2010-08-07	B03
34147	26912	1	Im KukJeup	1980-09-23	A06
34148	46646	1	Ji RyeomHwangbo	1987-06-20	B05
34149	39551	1	Paeng HakTak	1961-07-07	D04
34150	10853	1	Seok MokRi	2006-07-20	E08
34151	40479	1	Chun HakAe	2000-01-30	A06
34152	9309	1	Kan BongYong	1964-04-30	E06
34153	30581	2	Sobong SangKan	2018-04-25	B02
34154	33080	1	Bi SonSeo	1993-08-01	B03
34155	14617	1	Im RiKwae	1959-01-18	D06
34156	46908	1	Na KangRim	2006-04-20	A08
34157	15340	1	Mok SeoSo	1987-11-26	D09
34158	20056	1	Kyo OkSeol	1964-10-02	A09
34159	22963	1	Bing HamEo	1974-03-29	E08
34160	44919	1	Yun HaTu	1958-09-01	C10
34161	928	1	A NamYeom	2014-05-09	D02
34162	26750	1	Rim PiYeong	1996-06-17	B04
34163	5566	1	Bu MangjeolJeong	1992-02-17	C01
34164	4176	1	Kal TongbangTang	2009-03-26	D09
34165	27875	1	Hyeong ChangChoe	1995-06-19	C06
34166	37537	1	Kwan HwanYu	1959-12-05	D10
34167	19844	1	Eum JeonBaek	1972-06-11	D09
34168	30430	1	Tongbang TamNae	1995-07-02	B01
34169	4040	1	Baek PoMi	2004-04-03	D04
34170	24901	1	Sim RyukNan	2003-11-26	C03
34171	2724	1	Sang BeonWan	1962-07-09	D03
34172	34916	1	Kangjŏn ChoEun	1968-03-10	A05
34173	33452	1	Bu RoPyeon	1991-07-17	D10
34174	30559	1	Sa SeonHeung	1988-10-09	E10
34175	36979	1	Rang BoU	2001-05-22	A01
34176	25025	1	Si YaKi	1979-07-30	B10
34177	37909	1	Bak BokSon	2015-01-14	E08
34178	12589	1	In TanYeop	2000-05-03	C08
34179	26488	1	Chong PyeonRan	1991-05-11	A05
34180	43202	1	Pi PyeonBu	1977-03-09	E09
34181	7875	1	Sim KuYun	1953-11-08	D01
34182	39186	1	Maeng NoeKun	1998-07-04	E01
34183	9859	1	Ae JeongChang	1976-08-08	C02
34184	34475	1	Kok ChoBo	1990-12-09	C03
34185	10571	1	Pyeon SinSobong	1966-01-22	D01
34186	49517	1	Nang SeongYun	2015-06-02	C06
34187	23527	1	Wan JangHa	1966-09-27	A04
34188	29128	3	Jegal SeomunKan	2022-01-25	A07
34189	31998	1	Kok EunBing	2015-04-12	C02
34190	23476	1	Geum KungTokko	1979-11-03	C07
34191	43622	1	Yeom BingA	2003-10-25	D09
34192	21626	1	Cha BakHyeong	1951-01-02	E10
34193	43663	1	Bong SaMok	1999-03-28	B10
34194	3428	1	Mok NamgungMa	1964-01-11	D09
34195	6711	1	Je IBak	1981-12-12	C05
34196	31311	3	Hyeon KwaeWang	2021-04-18	A07
34197	29871	1	Kwae BiHwa	1997-05-07	E03
34198	17041	1	Wan JunTam	1962-09-19	D07
